,Region of Incident,Incident year,Number of Dead,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Country of Origin,Migration route,Coordinates
8536,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"20.5087233, -100.8300976"
8537,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"4.5971147, -74.0864237"
8538,Central America,2021,2.0,2,,,2.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"25.84591716, -97.37103277"
8539,South America,2021,2.0,2,28.0,1.0,1.0,,South America,"Colombia,Venezuela (Bolivarian Republic of)",,"-19.2761393, -68.6388049"
8540,Central America,2021,1.0,1,24.0,,,,Latin America / Caribbean (P),Unknown,,"17.8307439, -93.3897441"
8541,South-eastern Asia,2021,1.0,1,16.0,,,,South-eastern Asia,Myanmar,,"16.7124054, 98.5746649"
8542,Mediterranean,2021,1.0,6,8.0,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.821783, -0.4831532"
8543,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"10.4742449, -73.2436335"
8544,Mediterranean,2021,2.0,5,47.0,,2.0,,Middle Africa,"Chad,Unknown",Central Mediterranean,"32.90288617, 12.73580955"
8545,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.78834106, 13.71186048"
8546,Mediterranean,2021,1.0,4,3.0,,2.0,,Northern Africa,Morocco,Western Mediterranean,"36.1440934, -5.3417241"
8547,Mediterranean,2021,,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.86277284, -5.328762261"
8548,Central America,2021,,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"28.713166, -100.5093583"
8549,North America,2021,,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.71317365, -100.5068478"
8550,South America,2021,2.0,3,,2.0,1.0,,Caribbean,Guyana,,"5.98740941, -57.1435619"
8551,Mediterranean,2021,,1,,1.0,,,Unknown,Unknown,Western Mediterranean,"35.90019118, -5.299989274"
8552,Mediterranean,2021,1.0,1,,,1.0,,Western Africa,Nigeria,Central Mediterranean,"32.79973679, 12.78180512"
8553,Northern Africa,2021,8.0,18,,4.0,6.0,,Northern Africa,"Libya,Sudan,Unknown",Sahara Desert crossing,"21.749173, 23.59269844"
8554,Mediterranean,2021,1.0,23,25.0,,,,Sub-Saharan Africa (P),Mixed,Central Mediterranean,"35.57736051, 12.59360665"
8555,Mediterranean,2021,,2,8.0,,2.0,,Northern Africa,Morocco,Western Mediterranean,"36.441151, -3.603180343"
8556,Europe,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Balkans,"44.6145699, 17.9877428"
8557,Mediterranean,2021,2.0,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.92755182, 12.10964178"
8558,Mediterranean,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.79441821, 12.56680102"
8559,Europe,2021,1.0,1,6.0,,1.0,,Western Asia,Türkiye,Western Balkans,"45.22064907, 16.54942905"
8560,Caribbean,2021,,10,,,1.0,,Caribbean,Cuba,Caribbean to US,"24.8240255, -80.8136783"
8561,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.4790481, -99.4814057"
8562,Central America,2021,1.0,1,3.0,,1.0,1.0,Central America,Honduras,US-Mexico border crossing,"28.6805128, -100.5078173"
8563,Central America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),US-Mexico border crossing,"28.6805128, -100.5078173"
8564,Mediterranean,2021,2.0,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.896939, 13.1708564"
8565,Northern Africa,2021,1.0,1,17.0,,1.0,,Northern Africa,Egypt,Sahara Desert crossing,"32.0681759, 23.941751"
8566,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.3222273, -103.2068216"
8567,Mediterranean,2021,,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"31.56960031, 17.38213959"
8568,Mediterranean,2021,1.0,1,31.0,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.72722908, -0.644029953"
8569,Mediterranean,2021,2.0,2,197.0,,,,Northern Africa,"Chad,Sudan",Central Mediterranean,"34.20213497, 13.04803315"
8570,North America,2021,4.0,4,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"29.36820243, -103.7272989"
8571,North America,2021,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.36796911, -99.30855138"
8572,North America,2021,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"28.7019633, -100.5048585"
8573,Caribbean,2021,1.0,2,,2.0,,,Caribbean,Dominican Republic,,"19.87079787, -71.40140185"
8574,Mediterranean,2021,1.0,1,232.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.64056471, 13.25702465"
8575,Mediterranean,2021,1.0,41,77.0,4.0,34.0,3.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.89263386, 13.55340424"
8576,Caribbean,2021,1.0,1,1.0,,1.0,,Caribbean,Haiti,Haiti to Dominican Republic,"19.55102318, -71.71226423"
8577,Central America,2021,1.0,1,,1.0,,,Central America,Honduras,,"14.9364483, -92.265659"
8578,South America,2021,1.0,1,,,1.0,,South America,Peru,,"6.2476376, -75.5658153"
8579,Mediterranean,2021,,12,45.0,,,,Mixed,Unknown,Central Mediterranean,"35.41265243, 12.58948677"
8580,Southern Asia,2021,8.0,9,81.0,5.0,4.0,,South-eastern Asia,Myanmar,,"12.03248116, 95.73547526"
8581,Mediterranean,2021,,15,95.0,,15.0,,Western Africa,"Cameroon,Guinea,Mali,Nigeria,Sierra Leone,Sudan",Central Mediterranean,"33.14510556, 13.58488495"
8582,Mediterranean,2021,2.0,2,54.0,,2.0,,Northern Africa,Tunisia,Central Mediterranean,"35.11183029, 11.02745108"
8583,Mediterranean,2021,1.0,1,23.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.7205723, 11.1407184"
8584,Central America,2021,1.0,1,1.0,1.0,,,Central America,Honduras,US-Mexico border crossing,"32.53288558, -117.1233625"
8585,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"8.378848547, -72.41203443"
8586,Central America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"27.4790538, -99.4814315"
8587,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,US-Mexico border crossing,"28.65812669, -100.5017234"
8588,North America,2021,2.0,2,,,2.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.70516695, -100.5113856"
8589,Mediterranean,2021,2.0,2,59.0,1.0,,1.0,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.26149447, -3.957496007"
8590,North America,2021,13.0,13,12.0,3.0,,,Central America,"Guatemala,Mexico,Unknown",US-Mexico border crossing,"32.78367772, -115.2984346"
8591,Mediterranean,2021,1.0,1,2.0,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.27689538, -2.926136854"
8592,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.2841725, -2.9381673"
8593,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"35.302185, -2.9400548"
8594,Mediterranean,2021,1.0,1,,,1.0,,Unknown,Unknown,Western Mediterranean,"35.2841725, -2.9381673"
8595,Mediterranean,2021,2.0,2,16.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.03083222, 12.12354635"
8596,Mediterranean,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.98310801, 13.27991557"
8597,Mediterranean,2021,,3,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.26454725, 13.31096023"
8598,Eastern Africa,2021,5.0,20,60.0,,,,Eastern Africa (P),Unknown,Horn of Africa to Yemen crossing,"12.16601057, 43.54841709"
8599,Northern Africa,2021,1.0,5,47.0,,5.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"25.80390942, -15.7496197"
8600,Europe,2021,1.0,1,1.0,,1.0,,Southern Asia,Pakistan,Western Balkans,"45.032077, 15.3995488"
8601,Western Asia,2021,1.0,1,1.0,1.0,,1.0,Western Asia,Türkiye,Türkiye-Europe land route,"41.65864073, 26.50448518"
8602,Europe,2021,1.0,1,,,,,Unknown,Unknown,Western Balkans,"43.7384169, 18.0261821"
8603,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"-2.342606049, -73.07057192"
8604,South America,2021,2.0,4,22.0,1.0,3.0,2.0,South America,"Argentina,Bolivia (Plurinational State of),Unknown",,"-22.73371516, -64.34982328"
8605,Mediterranean,2021,9.0,9,52.0,,,,Mixed,Mixed,Central Mediterranean,"34.84785849, 11.47959691"
8606,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.2841725, -2.9381673"
8607,Caribbean,2021,,6,1.0,,,,South America,"Bahamas,Guyana,Jamaica",Caribbean to US,"27.45546714, -80.05125773"
8608,Europe,2021,,1,3.0,,1.0,,Unknown,Unknown,English Channel to the UK,"50.9744772, 1.874738404"
8609,Central America,2021,1.0,1,21.0,,1.0,,Latin America / Caribbean (P),Unknown,,"17.37971317, -97.12385013"
8610,North America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"31.7618778, -106.4850217"
8611,Central America,2021,1.0,1,,,1.0,,Central America,Honduras,,"19.7019462, -98.4585271"
8612,Central America,2021,1.0,1,,,,,Caribbean,Cuba,US-Mexico border crossing,"32.57929447, -116.5934173"
8613,Mediterranean,2021,1.0,1,1.0,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.9117892, -5.3570333"
8614,South America,2021,2.0,7,,,2.0,,South America,Bolivia (Plurinational State of),,"-22.7361245, -64.3542692"
8615,Caribbean,2021,1.0,7,19.0,1.0,1.0,2.0,Caribbean,Cuba,Caribbean to US,"23.66049536, -80.38468176"
8616,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.7125063, -100.5096557"
8617,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"36.1812954, -5.4105286"
8618,North America,2021,8.0,8,1.0,1.0,7.0,,Central America,Mexico,US-Mexico border crossing,"29.45061979, -100.9088278"
8619,Northern Africa,2021,1.0,1,49.0,,1.0,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"27.70936965, -15.60374223"
8620,Northern Africa,2021,,1,36.0,,1.0,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"27.12327778, -15.62983476"
8621,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"19.6044444, -98.3119444"
8622,Central America,2021,2.0,2,,1.0,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.52306085, -99.52574841"
8623,Mediterranean,2021,4.0,4,3.0,,4.0,1.0,Western Africa,"Sierra Leone,Somalia",Eastern Mediterranean,"38.327214, 26.21029"
8624,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"7.0773599, -73.1205348"
8625,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"-19.2761393, -68.6388049"
8626,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"7.830102197, -72.4508794"
8627,South America,2021,1.0,1,,,1.0,,South America,Venezuela (Bolivarian Republic of),,"-19.2761393, -68.6388049"
8628,Europe,2021,,1,,,1.0,,Southern Asia,Afghanistan,Western Balkans,"43.00343998, 22.83630671"
8629,Europe,2021,1.0,1,1.0,,1.0,,Southern Asia,Afghanistan,English Channel to the UK,"50.5522319, 2.370908"
8630,Europe,2021,1.0,1,2.0,,1.0,,Southern Asia,Iran (Islamic Republic of),English Channel to the UK,"50.334773, 3.440537"
8631,Europe,2021,1.0,1,,,,,Unknown,Unknown,English Channel to the UK,"50.9669534, 1.8710906"
8632,North America,2021,1.0,1,2.0,1.0,,1.0,Central America,Mexico,US-Mexico border crossing,"28.7091433, -100.4995214"
8633,Northern Africa,2021,1.0,1,,1.0,,1.0,Western Africa,Mali,Western Africa / Atlantic route to the Canary Islands,"28.0811553, -15.4167175"
8634,Central America,2021,1.0,1,,,1.0,,Central America,El Salvador,US-Mexico border crossing,"25.0580555, -98.2641668"
8635,Central America,2021,5.0,5,4.0,,3.0,,Central America,"Honduras,Unknown",,"20.7201324, -100.7597279"
8636,Central America,2021,1.0,1,1.0,,1.0,,Caribbean,Cuba,US-Mexico border crossing,"32.52426274, -117.1234483"
8637,Europe,2021,4.0,4,20.0,,4.0,,Western Asia,Syrian Arab Republic,Western Balkans,"45.24958796, 17.17982607"
8638,Mediterranean,2021,3.0,11,3.0,,,1.0,Northern Africa,"Algeria,Unknown",Western Mediterranean,"37.5318128, -1.268730051"
8639,North America,2021,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"32.2265083, -110.8547917"
8640,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"-19.2761393, -68.6388049"
8641,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"-19.27434383, -68.6202406"
8642,Northern Africa,2021,3.0,3,42.0,2.0,1.0,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"28.15731175, -16.39298261"
8643,Mediterranean,2021,30.0,30,24.0,9.0,,4.0,Mixed,Mixed,Central Mediterranean,"34.84785849, 11.47959691"
8644,Mediterranean,2021,1.0,1,14.0,,,,Northern Africa,Algeria,Western Mediterranean,"36.53619081, 1.440914807"
8645,Mediterranean,2021,3.0,11,,1.0,1.0,1.0,Northern Africa,Algeria,Western Mediterranean,"35.96990433, -0.802334461"
8646,Western Asia,2021,4.0,4,,2.0,,2.0,Western Asia,Syrian Arab Republic,,"34.29223478, 36.12228887"
8647,Mediterranean,2021,,5,77.0,2.0,,3.0,Western Africa,Guinea,Central Mediterranean,"32.87234592, 12.45293781"
8648,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.76109319, -0.826158603"
8649,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.07388561, -2.084353428"
8650,Mediterranean,2021,6.0,66,30.0,2.0,4.0,,Northern Africa,"Egypt,Pakistan,Unknown",Central Mediterranean,"33.06688277, 12.20001073"
8651,Central America,2021,1.0,1,,1.0,,,Central America,El Salvador,US-Mexico border crossing,"25.675342, -100.319587"
8652,Northern Africa,2021,1.0,1,,1.0,,,Unknown,Unknown,Western Africa / Atlantic route to the Canary Islands,"28.097183, -14.070217"
8653,Mediterranean,2021,1.0,1,,,1.0,,Unknown,Unknown,Western Mediterranean,"35.916545, -5.371463"
8654,Mediterranean,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.999264, 12.295422"
8655,Mediterranean,2021,2.0,2,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.999264, 12.295422"
8656,Western Asia,2021,1.0,1,,,1.0,,Southern Asia,Pakistan,Türkiye-Europe land route,"41.323095, 26.494845"
8657,Western Asia,2021,,3,,,3.0,,Unknown,Unknown,Türkiye-Europe land route,"41.708649, 26.360446"
8658,Northern Africa,2021,4.0,26,19.0,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"25.69694464, -18.07531481"
8659,Central America,2021,1.0,1,,,1.0,,Central America,Guatemala,US-Mexico border crossing,"26.203085, -98.445107"
8660,Mediterranean,2021,1.0,1,,1.0,,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.345799, -3.883139"
8661,Central America,2021,4.0,4,,1.0,3.0,,Latin America / Caribbean (P),"Cuba,Unknown",Darien,"8.775508839, -77.77647631"
8662,Northern Africa,2021,,9,53.0,,,3.0,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"27.63039322, -15.6991573"
8663,North America,2021,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"32.36842579, -114.0338755"
8664,North America,2021,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"28.50887928, -99.8698853"
8665,North America,2021,1.0,1,,1.0,,,Central America,Mexico,US-Mexico border crossing,"27.18569377, -98.14724414"
8666,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.68713093, -100.553353"
8667,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.72296727, -100.508408"
8668,Central America,2021,1.0,1,,1.0,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"28.72296727, -100.508408"
8669,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Morocco,Western Mediterranean,"35.2856809, -2.937338527"
8670,Central America,2021,1.0,1,,,1.0,,Central America,Mexico,US-Mexico border crossing,"32.67217596, -115.4387852"
8671,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa,Algeria,Western Mediterranean,"35.438993, -1.237177"
8672,North America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.40052071, -99.47846336"
8673,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.59686845, -99.53709649"
8674,Mediterranean,2021,6.0,6,,3.0,2.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.76566438, 11.02580782"
8675,Mediterranean,2021,1.0,1,,,,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.76566438, 11.02580782"
8676,Central America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.09530107, -98.27225471"
8677,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Western Mediterranean,"35.31422006, -2.944675914"
8678,Western Asia,2021,1.0,1,,,1.0,,Unknown,Unknown,Türkiye-Europe land route,"41.6738919, 26.46499074"
8679,Caribbean,2021,,10,,,,,Caribbean,Cuba,Caribbean to US,"19.37608604, -81.26624247"
8680,South America,2021,1.0,1,,1.0,,,South America,Venezuela (Bolivarian Republic of),,"7.815909737, -72.45178395"
8681,Central America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,,"22.82009376, -102.5423641"
8682,Central America,2021,1.0,1,,,1.0,,Central America,El Salvador,,"14.90541, -92.27885"
8683,Eastern Africa,2021,44.0,44,14.0,16.0,28.0,16.0,Eastern Africa,Ethiopia,Horn of Africa to Yemen crossing,"12.285716, 43.363376"
8684,Mediterranean,2021,41.0,41,3.0,9.0,,1.0,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"34.76811471, 10.85960062"
8685,Western Asia,2021,1.0,1,,,1.0,,Southern Asia,Afghanistan,Türkiye-Europe land route,"41.6738919, 26.46499074"
8686,Northern Africa,2021,4.0,4,18.0,,4.0,,Northern Africa,Egypt,Sahara Desert crossing,"32.16098565, 22.28074552"
8687,Eastern Africa,2021,,25,,,,,Eastern Africa,Ethiopia,,"12.11374551, 42.11180794"
8688,Northern Africa,2021,1.0,1,15.0,,,,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"23.71304956, -15.91691136"
8689,Mediterranean,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"33.25433412, 11.49846374"
8690,South America,2021,1.0,1,,,1.0,,Caribbean,Cuba,,"-16.48074, -68.21252"
8691,Central America,2021,1.0,1,,,1.0,,Central America,Guatemala,,"15.01859246, -92.39962345"
8692,Central America,2021,1.0,1,,1.0,,,Central America,Nicaragua,,"11.09053697, -84.56062206"
8693,Central America,2021,2.0,2,3.0,,,,Central America,Honduras,,"17.66969471, -93.4777546"
8694,Europe,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,,"52.307985, 4.753107"
8695,North America,2021,1.0,1,,,1.0,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"27.28385151, -98.68701863"
8696,North America,2021,1.0,1,,1.0,,,Central America,Honduras,US-Mexico border crossing,"26.1865678, -98.22579399"
8697,North America,2021,1.0,1,,,,,Latin America / Caribbean (P),Unknown,US-Mexico border crossing,"26.65278451, -98.11397627"
8698,Central America,2021,1.0,1,,,1.0,,Caribbean,Cuba,,"14.84172051, -92.31793706"
8699,Northern Africa,2021,6.0,6,16.0,1.0,5.0,1.0,Western Asia,Syrian Arab Republic,,"19.70340863, 37.19738699"
8700,Mediterranean,2021,2.0,2,103.0,1.0,1.0,1.0,Western Africa,Côte d'Ivoire,Central Mediterranean,"32.94797295, 13.19404548"
8701,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.86244029, 13.43844999"
8702,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.79270254, 12.67244146"
8703,Europe,2021,1.0,1,,,1.0,,Eastern Africa,Eritrea,,"43.34150604, -1.776485694"
8704,Mediterranean,2021,1.0,3,,,3.0,,Northern Africa,Morocco,Western Mediterranean,"35.81514383, -5.35131574"
8705,Caribbean,2021,10.0,17,12.0,4.0,2.0,1.0,South America,Venezuela (Bolivarian Republic of),Venezuela to Caribbean,"10.0202063, -61.96663946"
8706,Northern Africa,2021,24.0,56,3.0,,24.0,2.0,Sub-Saharan Africa (P),Unknown,Western Africa / Atlantic route to the Canary Islands,"23.447654, -18.151759"
8707,Southern Africa,2021,1.0,1,,,1.0,,Southern Africa,Zimbabwe,,"-22.217558, 29.985716"
8708,Mediterranean,2021,2.0,2,,,2.0,,Northern Africa,Morocco,Western Mediterranean,"35.82318233, -5.352174047"
8709,Mediterranean,2021,1.0,1,,,1.0,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.79270254, 12.67244146"
8710,North America,2021,1.0,1,12.0,,1.0,,Central America,Mexico,US-Mexico border crossing,"28.02611051, -99.54236303"
8711,Mediterranean,2021,0.0,130,,7.0,125.0,,Sub-Saharan Africa (P),"Sudan,Unknown",Central Mediterranean,"33.740667, 13.626167"
8712,Mediterranean,2021,1.0,1,,,1.0,,Northern Africa (P),Unknown,Western Mediterranean,"35.87318906, -5.342716102"
8713,Mediterranean,2021,4.0,9,3.0,1.0,,1.0,Northern Africa (P),Unknown,Western Mediterranean,"35.93540838, 0.074290332"
8714,South America,2021,3.0,3,,1.0,2.0,2.0,South America,Venezuela (Bolivarian Republic of),,"8.033327732, -72.41635263"
8715,Central America,2021,,1,,1.0,,,Caribbean,Cuba,Darien,"8.706681239, -77.58643695"
8716,Mediterranean,2021,11.0,11,12.0,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.79270254, 12.67244146"
8717,Mediterranean,2021,1.0,1,,,,,Sub-Saharan Africa (P),Unknown,Central Mediterranean,"32.88479727, 13.15337754"
8718,Northern Africa,2021,3.0,3,,,2.0,,Western Africa,"Guinea,Senegal,Unknown","Central Mediterranean,Sahara Desert crossing","22.78182228, 5.435464559"
8719,North America,2021,4.0,4,25.0,2.0,1.0,,Central America,Mexico,US-Mexico border crossing,"32.66161, -117.247942"
